Make,Transmission,Engine Type,Engine Capacity(CC),Mileage(kms),Year,Price,Model
Toyota,Manual,Petrol,1300.0,135000,2013,2000000,Corolla 
Toyota,Automatic,Petrol,1800.0,12000,2021,4400000,Corolla 
Toyota,Manual,Petrol,1300.0,247000,2009,1540000,Corolla 
Honda,Manual,Petrol,1300.0,119000,2014,2090000,City 
Honda,Automatic,Petrol,1600.0,299999,2001,1150000,Civic 
Honda,Automatic,Petrol,1800.0,89000,2013,2450000,Civic Rebirth
Honda,Automatic,Hybrid,1500.0,76000,2016,3350000,Fit 
Toyota,Manual,Petrol,1300.0,300000,1996,930000,Corolla Indus
Suzuki,Automatic,Petrol,660.0,71000,2011,1250000,Alto 
Suzuki,Manual,CNG,1000.0,90000,2010,810000,Cultus 
Suzuki,Manual,Petrol,1000.0,17000,2021,1965000,Wagon R
Suzuki,Manual,Petrol,800.0,74805,2013,660000,Mehran 
Suzuki,Manual,Petrol,1000.0,68000,2018,1550000,Wagon R
Honda,Automatic,Hybrid,1300.0,138000,2010,1880000,Civic Reborn
Suzuki,Manual,Petrol,1000.0,89000,2011,750000,Alto 
Honda,Automatic,Petrol,1800.0,70000,2016,3150000,Civic Rebirth
Suzuki,Manual,Petrol,1300.0,25000,2021,2250000,Swift 
Toyota,Automatic,Petrol,1000.0,16000,2018,2625000,Passo 
Honda,Automatic,Petrol,1800.0,115000,2016,3100000,Civic Rebirth
Honda,Automatic,Petrol,1800.0,90628,2012,1850000,Civic 
Honda,Automatic,Petrol,1800.0,61000,2018,3850000,Civic 
Toyota,Automatic,Petrol,1800.0,40080,2017,5190000,C-HR 
Toyota,Manual,Petrol,1300.0,83752,2017,2800000,Corolla 
Toyota,Automatic,Petrol,2700.0,27700,2016,18700000,Prado 
Toyota,Automatic,Petrol,1300.0,112000,2007,1275000,Passo 
Suzuki,Automatic,Petrol,660.0,125000,2017,1725000,Every 
Daihatsu,Automatic,Petrol,1000.0,24000,2019,4250000,Rocky 
Toyota,Automatic,Petrol,1000.0,135000,2015,2150000,Vitz 
Toyota,Automatic,Diesel,2800.0,48740,2018,9500000,Fortuner 
Toyota,Automatic,Petrol,1800.0,55000,2016,2925000,Corolla 
Toyota,Automatic,Petrol,1800.0,78000,2016,4750000,Prius 
Suzuki,Manual,Petrol,1400.0,70000,2018,2200000,Ciaz 
Honda,Automatic,Petrol,2400.0,190000,2006,1650000,Accord 
Honda,Automatic,Petrol,1800.0,90000,2013,2450000,Civic Rebirth
Daihatsu,Automatic,Petrol,660.0,163850,2017,1750000,Hijet 
Toyota,Automatic,Petrol,1000.0,55000,2014,1975000,Passo 
Daihatsu,Manual,Petrol,660.0,140000,2008,1050000,Terios Kid
Suzuki,Manual,Petrol,1000.0,60000,2016,1415000,Cultus 
Toyota,Automatic,Petrol,2500.0,194000,2005,3000000,Mark X
Honda,Automatic,Petrol,1800.0,83000,2017,3700000,Civic 
Suzuki,Manual,Petrol,800.0,200000,2011,680000,Mehran 
Toyota,Manual,Diesel,2400.0,250000,1988,1500000,Land Cruiser
Toyota,Automatic,Petrol,1800.0,27000,2018,3600000,Corolla 
Daihatsu,Manual,Petrol,800.0,50000,2007,550000,Cuore 
Honda,Automatic,Petrol,1500.0,41000,2018,2850000,City 
Honda,Automatic,Hybrid,1500.0,56000,2012,2650000,Freed 
Toyota,Manual,Petrol,1600.0,120000,2014,2300000,Corolla 
Honda,Automatic,Petrol,1500.0,74000,2016,4600000,Vezel 
Toyota,Automatic,Diesel,3000.0,75000,2017,6000000,Hilux 
Nissan,Automatic,Petrol,5700.0,39000,2013,24000000,Patrol 
